Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
2,20,Control,48,1,2,0.0433,0.0704,0.384943182,NA,NA,NA,0.019957547,NA
2,20,Control,72,1,1,0.12038,0.19226,0.373868719,0.38102635,0.010122418,2.66%,0.018785133,0
2,20,Control,72,1,2,0.12344,0.20176,0.388183981,NA,NA,NA,-0.018785133,NA
2,20,26.7,0,1,1,0.0106,0.0217,0.511520737,NA,NA,NA,-0.046911591,-0.047936585
2,20,26.7,0,1,2,0.0109,0.02236,0.512522361,NA,NA,NA,-0.048961579,NA
2,20,26.7,0.3,1,1,0.01754,0.03698,0.525689562,NA,NA,NA,0.049798799,0.5248994
2,20,26.7,0.3,1,2,0.00248,0.002,-0.24,NA,NA,NA,1,NA
2,20,26.7,2,1,1,0.01752,0.0388,0.548453608,NA,NA,NA,0.032742428,0.052352948
2,20,26.7,2,1,2,0.0197,0.04158,0.526214526,NA,NA,NA,0.071963467,NA
2,20,26.7,24,1,1,0.03668,0.08208,0.553118908,NA,NA,NA,0.024354933,0.023751508
2,20,26.7,24,1,2,0.03508,0.07862,0.553803104,NA,NA,NA,0.023148083,NA
2,20,26.7,48,1,1,0.0438,0.06766,0.352645581,NA,NA,NA,0.102185318,0.075239887
2,20,26.7,48,1,2,0.04352,0.0695,0.37381295,NA,NA,NA,0.048294456,NA
