,hours,Light,Diuron,Replicate,Absorbance
442,48,5,3,Rep 1,0.0504
443,48,5,3,Rep 2,0.0498
444,48,5,3,AVERAGE,0.0501
445,48,5,1,Rep 1,0.0568
446,48,5,1,Rep 2,0.0554
447,48,5,1,AVERAGE,0.0561
448,48,5,0.33,Rep 1,0.0645
449,48,5,0.33,Rep 2,0.0597
450,48,5,0.33,AVERAGE,0.0621
451,48,5,0.11,Rep 1,0.0659
452,48,5,0.11,Rep 2,0.063
453,48,5,0.11,AVERAGE,0.06445
454,48,Blank,Blank,Rep 1,0.0429
455,48,Blank,Blank,Rep 2,0.0418
456,48,Blank,Blank,AVERAGE,0.04235
457,72,80,AlgaeControl,Rep 1,0.0814
458,72,80,AlgaeControl,Rep 2,0.0752
459,72,80,AlgaeControl,AVERAGE,0.0783
460,72,80,MeOHControl,Rep 1,0.0718
461,72,80,MeOHControl,Rep 2,0.0696
462,72,80,MeOH,AVERAGE,0.0707
463,72,80,3,Rep 1,0.0718
464,72,80,3,Rep 2,0.0818
465,72,80,3,AVERAGE,0.0768
466,72,80,1,Rep 1,0.0767
467,72,80,1,Rep 2,0.0919
468,72,80,1,AVERAGE,0.0843
469,72,80,0.33,Rep 1,0.0798
470,72,80,0.33,Rep 2,0.0805
471,72,80,0.33,AVERAGE,0.08015
472,72,80,0.11,Rep 1,0.0693
473,72,80,0.11,Rep 2,0.0739
474,72,80,0.11,AVERAGE,0.0716
475,72,20,AlgaeControl,Rep 1,0.0834
476,72,20,AlgaeControl,Rep 2,0.0787
477,72,20,AlgaeControl,AVERAGE,0.08105
478,72,20,MeOHControl,Rep 1,0.0743
479,72,20,MeOHControl,Rep 2,0.104
480,72,20,MeOH,AVERAGE,0.08915
481,72,20,3,Rep 1,0.0804
482,72,20,3,Rep 2,0.0758
483,72,20,3,AVERAGE,0.0781
484,72,20,1,Rep 1,0.0849
485,72,20,1,Rep 2,0.077
486,72,20,1,AVERAGE,0.08095
487,72,20,0.33,Rep 1,0.0688
488,72,20,0.33,Rep 2,0.0744
489,72,20,0.33,AVERAGE,0.0716
490,72,20,0.11,Rep 1,0.0723
491,72,20,0.11,Rep 2,0.0705
492,72,20,0.11,AVERAGE,0.0714
493,72,5,AlgaeControl,Rep 1,0.0815
494,72,5,AlgaeControl,Rep 2,0.0721
495,72,5,AlgaeControl,AVERAGE,0.0768
496,72,5,MeOHControl,Rep 1,0.0802
497,72,5,MeOHControl,Rep 2,0.0789
498,72,5,MeOH,AVERAGE,0.07955
499,72,5,3,Rep 1,0.0497
500,72,5,3,Rep 2,0.051
501,72,5,3,AVERAGE,0.05035
502,72,5,1,Rep 1,0.0709
503,72,5,1,Rep 2,0.0669
504,72,5,1,AVERAGE,0.0689
505,72,5,0.33,Rep 1,0.071
506,72,5,0.33,Rep 2,0.0684
507,72,5,0.33,AVERAGE,0.0697
508,72,5,0.11,Rep 1,0.0737
509,72,5,0.11,Rep 2,0.0719
510,72,5,0.11,AVERAGE,0.0728
511,72,Blank,Blank,Rep 1,0.0424
512,72,Blank,Blank,Rep 2,0.0419
513,72,Blank,Blank,AVERAGE,0.04215
